New Zealand,South Africa,South Africa,2 runs,Brisbane,Jan 9,http://stats.espncricinfo.com/ci/engine/match/65561.html,ODI # 1270
Bangladesh,India,India,4 wickets,Dhaka,Jan 10,http://stats.espncricinfo.com/ci/engine/match/66131.html,ODI # 1271
India,Pakistan,India,18 runs,Dhaka,Jan 11,http://stats.espncricinfo.com/ci/engine/match/66132.html,ODI # 1273
Australia,South Africa,South Africa,5 wickets,Brisbane,Jan 11,http://stats.espncricinfo.com/ci/engine/match/65562.html,ODI # 1272
Bangladesh,Pakistan,Pakistan,9 wickets,Dhaka,Jan 12,http://stats.espncricinfo.com/ci/engine/match/66133.html,ODI # 1274
India,Pakistan,India,8 wickets,Dhaka,Jan 14,http://stats.espncricinfo.com/ci/engine/match/66134.html,ODI # 1276
Australia,New Zealand,Australia,131 runs,Sydney,Jan 14,http://stats.espncricinfo.com/ci/engine/match/65563.html,ODI # 1275
India,Pakistan,Pakistan,6 wickets,Dhaka,Jan 16,http://stats.espncricinfo.com/ci/engine/match/66135.html,ODI # 1277
New Zealand,South Africa,South Africa,67 runs,Perth,Jan 16,http://stats.espncricinfo.com/ci/engine/match/65564.html,ODI # 1278
India,Pakistan,India,3 wickets,Dhaka,Jan 18,http://stats.espncricinfo.com/ci/engine/match/66136.html,ODI # 1279
Australia,South Africa,South Africa,7 wickets,Perth,Jan 18,http://stats.espncricinfo.com/ci/engine/match/65565.html,ODI # 1280
Australia,New Zealand,New Zealand,4 wickets,Melbourne,Jan 21,http://stats.espncricinfo.com/ci/engine/match/65566.html,ODI # 1281
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (SSC),Jan 22,http://stats.espncricinfo.com/ci/engine/match/64570.html,ODI # 1282
Australia,South Africa,South Africa,6 runs,Melbourne,Jan 23,http://stats.espncricinfo.com/ci/engine/match/65567.html,ODI # 1283
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Colombo (RPS),Jan 24,http://stats.espncricinfo.com/ci/engine/match/64571.html,ODI # 1284
Australia,South Africa,Australia,7 wickets,Sydney,Jan 26,http://stats.espncricinfo.com/ci/engine/match/65568.html,ODI # 1285
Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Colombo (SSC),Jan 26,http://stats.espncricinfo.com/ci/engine/match/64572.html,ODI # 1286
Australia,South Africa,Australia,14 runs,Sydney,Jan 27,http://stats.espncricinfo.com/ci/engine/match/65569.html,ODI # 1287
New Zealand,Zimbabwe,New Zealand,40 runs,Hamilton,Feb 4,http://stats.espncricinfo.com/ci/engine/match/64573.html,ODI # 1288
New Zealand,Zimbabwe,New Zealand,8 wickets,Wellington,Feb 6,http://stats.espncricinfo.com/ci/engine/match/64574.html,ODI # 1289
New Zealand,Australia,Australia,7 wickets,Christchurch,Feb 8,http://stats.espncricinfo.com/ci/engine/match/64575.html,ODI # 1290
New Zealand,Australia,Australia,66 runs,Wellington,Feb 10,http://stats.espncricinfo.com/ci/engine/match/64576.html,ODI # 1291
New Zealand,Australia,New Zealand,7 wickets,Napier,Feb 12,http://stats.espncricinfo.com/ci/engine/match/64577.html,ODI # 1292
New Zealand,Australia,New Zealand,30 runs,Auckland,Feb 14,http://stats.espncricinfo.com/ci/engine/match/64578.html,ODI # 1293
New Zealand,Zimbabwe,Zimbabwe,1 run,Christchurch,Mar 4,http://stats.espncricinfo.com/ci/engine/match/64579.html,ODI # 1294
New Zealand,Zimbabwe,New Zealand,9 wickets,Napier,Mar 6,http://stats.espncricinfo.com/ci/engine/match/64580.html,ODI # 1295
New Zealand,Zimbabwe,New Zealand,2 runs,Auckland,Mar 8,http://stats.espncricinfo.com/ci/engine/match/64581.html,ODI # 1296
Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,Mar 28,http://stats.espncricinfo.com/ci/engine/match/64582.html,ODI # 1297
Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,Mar 29,http://stats.espncricinfo.com/ci/engine/match/64583.html,ODI # 1298
West Indies,England,England,16 runs,Bridgetown,Mar 29,http://stats.espncricinfo.com/ci/engine/match/64584.html,ODI # 1299
India,Australia,India,41 runs,Kochi,Apr 1,http://stats.espncricinfo.com/ci/engine/match/66137.html,ODI # 1300
West Indies,England,West Indies,1 wicket,Bridgetown,Apr 1,http://stats.espncricinfo.com/ci/engine/match/64585.html,ODI # 1301
Australia,Zimbabwe,Australia,13 runs,Ahmedabad,Apr 3,http://stats.espncricinfo.com/ci/engine/match/66138.html,ODI # 1302
South Africa,Pakistan,South Africa,52 runs,Durban,Apr 3,http://stats.espncricinfo.com/ci/engine/match/66079.html,ODI # 1303
West Indies,England,West Indies,5 wickets,Kingstown,Apr 4,http://stats.espncricinfo.com/ci/engine/match/64586.html,ODI # 1304
India,Zimbabwe,India,13 runs,Vadodara,Apr 5,http://stats.espncricinfo.com/ci/engine/match/66139.html,ODI # 1305
South Africa,Sri Lanka,South Africa,57 runs,Johannesburg,Apr 5,http://stats.espncricinfo.com/ci/engine/match/66080.html,ODI # 1306
West Indies,England,West Indies,4 wickets,Kingstown,Apr 5,http://stats.espncricinfo.com/ci/engine/match/64587.html,ODI # 1307
India,Australia,India,6 wickets,Kanpur,Apr 7,http://stats.espncricinfo.com/ci/engine/match/66140.html,ODI # 1308
Pakistan,Sri Lanka,Pakistan,4 wickets,Kimberley,Apr 7,http://stats.espncricinfo.com/ci/engine/match/66081.html,ODI # 1309
West Indies,England,West Indies,57 runs,Port of Spain,Apr 8,http://stats.espncricinfo.com/ci/engine/match/64588.html,ODI # 1310
India,Zimbabwe,India,32 runs,Cuttack,Apr 9,http://stats.espncricinfo.com/ci/engine/match/66141.html,ODI # 1311
Pakistan,Sri Lanka,Pakistan,110 runs,Paarl,Apr 9,http://stats.espncricinfo.com/ci/engine/match/66082.html,ODI # 1312
Australia,Zimbabwe,Australia,16 runs,Delhi,Apr 11,http://stats.espncricinfo.com/ci/engine/match/66142.html,ODI # 1313
South Africa,Pakistan,South Africa,3 wickets,East London,Apr 11,http://stats.espncricinfo.com/ci/engine/match/66083.html,ODI # 1314
South Africa,Sri Lanka,Sri Lanka,6 wickets,Port Elizabeth,Apr 13,http://stats.espncricinfo.com/ci/engine/match/66084.html,ODI # 1315
India,Australia,Australia,4 wickets,Delhi,Apr 14,http://stats.espncricinfo.com/ci/engine/match/66143.html,ODI # 1316
Pakistan,Sri Lanka,Sri Lanka,115 runs,Benoni,Apr 15,http://stats.espncricinfo.com/ci/engine/match/66085.html,ODI # 1317
South Africa,Pakistan,South Africa,7 wickets,Centurion,Apr 17,http://stats.espncricinfo.com/ci/engine/match/66086.html,ODI # 1318
India,New Zealand,India,15 runs,Sharjah,Apr 17,http://stats.espncricinfo.com/ci/engine/match/65768.html,ODI # 1319
Australia,New Zealand,Australia,6 wickets,Sharjah,Apr 18,http://stats.espncricinfo.com/ci/engine/match/65769.html,ODI # 1320
South Africa,Sri Lanka,South Africa,5 wickets,Bloemfontein,Apr 19,http://stats.espncricinfo.com/ci/engine/match/66087.html,ODI # 1321
Australia,India,Australia,58 runs,Sharjah,Apr 19,http://stats.espncricinfo.com/ci/engine/match/65770.html,ODI # 1322
India,New Zealand,New Zealand,4 wickets,Sharjah,Apr 20,http://stats.espncricinfo.com/ci/engine/match/65771.html,ODI # 1323
Australia,New Zealand,Australia,5 wickets,Sharjah,Apr 21,http://stats.espncricinfo.com/ci/engine/match/65772.html,ODI # 1324
Australia,India,Australia,26 runs,Sharjah,Apr 22,http://stats.espncricinfo.com/ci/engine/match/65773.html,ODI # 1325
South Africa,Pakistan,South Africa,9 wickets,Cape Town,Apr 23,http://stats.espncricinfo.com/ci/engine/match/66088.html,ODI # 1326
Australia,India,India,6 wickets,Sharjah,Apr 24,http://stats.espncricinfo.com/ci/engine/match/65774.html,ODI # 1327
India,Bangladesh,India,5 wickets,Mohali,May 14,http://stats.espncricinfo.com/ci/engine/match/66144.html,ODI # 1328
Bangladesh,Kenya,Bangladesh,6 wickets,Hyderabad (Deccan),May 17,http://stats.espncricinfo.com/ci/engine/match/66145.html,ODI # 1329
India,Kenya,India,4 wickets,Bengaluru,May 20,http://stats.espncricinfo.com/ci/engine/match/66146.html,ODI # 1330
England,South Africa,South Africa,3 wickets,The Oval,May 21,http://stats.espncricinfo.com/ci/engine/match/65026.html,ODI # 1331
Bangladesh,Kenya,Kenya,28 runs,Chennai,May 23,http://stats.espncricinfo.com/ci/engine/match/66147.html,ODI # 1333
England,South Africa,South Africa,32 runs,Manchester,May 23,http://stats.espncricinfo.com/ci/engine/match/65027.html,ODI # 1332
England,South Africa,England,7 wickets,Leeds,May 24,http://stats.espncricinfo.com/ci/engine/match/65028.html,ODI # 1334
India,Bangladesh,India,5 wickets,Mumbai,May 25,http://stats.espncricinfo.com/ci/engine/match/66148.html,ODI # 1335
India,Kenya,Kenya,69 runs,Gwalior,May 28,http://stats.espncricinfo.com/ci/engine/match/66149.html,ODI # 1336
India,Kenya,India,9 wickets,Kolkata,May 31,http://stats.espncricinfo.com/ci/engine/match/66150.html,ODI # 1337
Sri Lanka,India,India,8 wickets,Colombo (RPS),Jun 19,http://stats.espncricinfo.com/ci/engine/match/66151.html,ODI # 1338
Sri Lanka,New Zealand,Sri Lanka,7 wickets,Colombo (RPS),Jun 21,http://stats.espncricinfo.com/ci/engine/match/66152.html,ODI # 1339
India,New Zealand,no result, ,Colombo (RPS),Jun 23,http://stats.espncricinfo.com/ci/engine/match/66153.html,ODI # 1340
Sri Lanka,India,Sri Lanka,8 runs,Colombo (SSC),Jul 1,http://stats.espncricinfo.com/ci/engine/match/66154.html,ODI # 1341
India,New Zealand,no result, ,Colombo (SSC),Jul 3,http://stats.espncricinfo.com/ci/engine/match/66155.html,ODI # 1342
Sri Lanka,New Zealand,Sri Lanka,87 runs,Colombo (SSC),Jul 5,http://stats.espncricinfo.com/ci/engine/match/66156.html,ODI # 1343
Sri Lanka,India,India,6 runs,Colombo (RPS),Jul 7,http://stats.espncricinfo.com/ci/engine/match/66157.html,ODI # 1344
South Africa,Sri Lanka,Sri Lanka,57 runs,Nottingham,Aug 14,http://stats.espncricinfo.com/ci/engine/match/66158.html,ODI # 1345
England,Sri Lanka,England,36 runs,Lord's,Aug 16,http://stats.espncricinfo.com/ci/engine/match/66159.html,ODI # 1346
England,South Africa,South Africa,14 runs,Birmingham,Aug 18,http://stats.espncricinfo.com/ci/engine/match/66160.html,ODI # 1347
England,Sri Lanka,Sri Lanka,5 wickets,Lord's,Aug 20,http://stats.espncricinfo.com/ci/engine/match/66161.html,ODI # 1348
India,Pakistan,India,6 wickets,Toronto,Sep 12,http://stats.espncricinfo.com/ci/engine/match/66041.html,ODI # 1349
India,Pakistan,Pakistan,51 runs,Toronto,Sep 13,http://stats.espncricinfo.com/ci/engine/match/66042.html,ODI # 1350
India,Pakistan,Pakistan,77 runs,Toronto,Sep 16,http://stats.espncricinfo.com/ci/engine/match/66043.html,ODI # 1351
India,Pakistan,Pakistan,134 runs,Toronto,Sep 19,http://stats.espncricinfo.com/ci/engine/match/66044.html,ODI # 1352
India,Pakistan,Pakistan,5 wickets,Toronto,Sep 20,http://stats.espncricinfo.com/ci/engine/match/66045.html,ODI # 1353
Zimbabwe,India,India,8 wickets,Bulawayo,Sep 26,http://stats.espncricinfo.com/ci/engine/match/64589.html,ODI # 1354
Zimbabwe,India,India,8 wickets,Bulawayo,Sep 27,http://stats.espncricinfo.com/ci/engine/match/64590.html,ODI # 1355
Zimbabwe,India,Zimbabwe,37 runs,Harare,Sep 30,http://stats.espncricinfo.com/ci/engine/match/64591.html,ODI # 1356
New Zealand,Zimbabwe,New Zealand,5 wickets,Dhaka,Oct 24,http://stats.espncricinfo.com/ci/engine/match/66162.html,ODI # 1357
England,South Africa,South Africa,6 wickets,Dhaka,Oct 25,http://stats.espncricinfo.com/ci/engine/match/66163.html,ODI # 1358
New Zealand,Sri Lanka,Sri Lanka,5 wickets,Dhaka,Oct 26,http://stats.espncricinfo.com/ci/engine/match/66164.html,ODI # 1359
Australia,India,India,44 runs,Dhaka,Oct 28,http://stats.espncricinfo.com/ci/engine/match/66165.html,ODI # 1360
Pakistan,West Indies,West Indies,30 runs,Dhaka,Oct 29,http://stats.espncricinfo.com/ci/engine/match/66166.html,ODI # 1361
South Africa,Sri Lanka,South Africa,92 runs,Dhaka,Oct 30,http://stats.espncricinfo.com/ci/engine/match/66167.html,ODI # 1362
India,West Indies,West Indies,6 wickets,Dhaka,Oct 31,http://stats.espncricinfo.com/ci/engine/match/66168.html,ODI # 1363
South Africa,West Indies,South Africa,4 wickets,Dhaka,Nov 1,http://stats.espncricinfo.com/ci/engine/match/66169.html,ODI # 1364
Pakistan,Australia,Australia,86 runs,Karachi,Nov 6,http://stats.espncricinfo.com/ci/engine/match/64592.html,ODI # 1365
India,Sri Lanka,India,3 wickets,Sharjah,Nov 6,http://stats.espncricinfo.com/ci/engine/match/65880.html,ODI # 1366
Sri Lanka,Zimbabwe,Zimbabwe,7 wickets,Sharjah,Nov 7,http://stats.espncricinfo.com/ci/engine/match/65881.html,ODI # 1367
Pakistan,Australia,Australia,5 wickets,Peshawar,Nov 8,http://stats.espncricinfo.com/ci/engine/match/64593.html,ODI # 1368
India,Zimbabwe,India,7 wickets,Sharjah,Nov 8,http://stats.espncricinfo.com/ci/engine/match/65882.html,ODI # 1369
India,Sri Lanka,India,81 runs,Sharjah,Nov 9,http://stats.espncricinfo.com/ci/engine/match/65883.html,ODI # 1370
Pakistan,Australia,Australia,6 wickets,Lahore,Nov 10,http://stats.espncricinfo.com/ci/engine/match/64594.html,ODI # 1371
Sri Lanka,Zimbabwe,Zimbabwe,24 runs,Sharjah,Nov 10,http://stats.espncricinfo.com/ci/engine/match/65884.html,ODI # 1372
India,Zimbabwe,Zimbabwe,13 runs,Sharjah,Nov 11,http://stats.espncricinfo.com/ci/engine/match/65885.html,ODI # 1373
India,Zimbabwe,India,10 wickets,Sharjah,Nov 13,http://stats.espncricinfo.com/ci/engine/match/65886.html,ODI # 1374
Pakistan,Zimbabwe,Pakistan,4 wickets,Gujranwala,Nov 20,http://stats.espncricinfo.com/ci/engine/match/64595.html,ODI # 1375
Pakistan,Zimbabwe,Zimbabwe,6 wickets,Sheikhupura,Nov 22,http://stats.espncricinfo.com/ci/engine/match/64596.html,ODI # 1376
Pakistan,Zimbabwe,Pakistan,111 runs,Rawalpindi,Nov 24,http://stats.espncricinfo.com/ci/engine/match/64597.html,ODI # 1377
