New Zealand,India,New Zealand,5 wickets,Taupo,Jan 9,http://stats.espncricinfo.com/ci/engine/match/64598.html,ODI # 1378
Australia,England,England,7 runs,Brisbane,Jan 10,http://stats.espncricinfo.com/ci/engine/match/65570.html,ODI # 1379
England,Sri Lanka,England,4 wickets,Brisbane,Jan 11,http://stats.espncricinfo.com/ci/engine/match/65571.html,ODI # 1380
New Zealand,India,India,2 wickets,Napier,Jan 12,http://stats.espncricinfo.com/ci/engine/match/64599.html,ODI # 1381
Australia,Sri Lanka,Australia,8 wickets,Sydney,Jan 13,http://stats.espncricinfo.com/ci/engine/match/65572.html,ODI # 1382
New Zealand,India,no result, ,Wellington,Jan 14,http://stats.espncricinfo.com/ci/engine/match/64600.html,ODI # 1383
Australia,England,Australia,9 wickets,Melbourne,Jan 15,http://stats.espncricinfo.com/ci/engine/match/65573.html,ODI # 1384
New Zealand,India,India,5 wickets,Auckland,Jan 16,http://stats.espncricinfo.com/ci/engine/match/64601.html,ODI # 1385
Australia,England,England,7 runs,Sydney,Jan 17,http://stats.espncricinfo.com/ci/engine/match/65574.html,ODI # 1386
New Zealand,India,New Zealand,70 runs,Christchurch,Jan 19,http://stats.espncricinfo.com/ci/engine/match/64602.html,ODI # 1387
England,Sri Lanka,England,7 wickets,Melbourne,Jan 19,http://stats.espncricinfo.com/ci/engine/match/65575.html,ODI # 1388
Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,Jan 21,http://stats.espncricinfo.com/ci/engine/match/65576.html,ODI # 1389
South Africa,West Indies,South Africa,2 wickets,Johannesburg,Jan 22,http://stats.espncricinfo.com/ci/engine/match/64603.html,ODI # 1390
England,Sri Lanka,Sri Lanka,1 wicket,Adelaide,Jan 23,http://stats.espncricinfo.com/ci/engine/match/65577.html,ODI # 1391
Australia,Sri Lanka,Australia,80 runs,Adelaide,Jan 24,http://stats.espncricinfo.com/ci/engine/match/65578.html,ODI # 1392
South Africa,West Indies,West Indies,43 runs,East London,Jan 24,http://stats.espncricinfo.com/ci/engine/match/64604.html,ODI # 1393
Australia,England,Australia,16 runs,Adelaide,Jan 26,http://stats.espncricinfo.com/ci/engine/match/65579.html,ODI # 1394
South Africa,West Indies,South Africa,55 runs,Durban,Jan 27,http://stats.espncricinfo.com/ci/engine/match/64605.html,ODI # 1395
England,Sri Lanka,England,128 runs,Perth,Jan 29,http://stats.espncricinfo.com/ci/engine/match/65580.html,ODI # 1396
South Africa,West Indies,South Africa,99 runs,Port Elizabeth,Jan 30,http://stats.espncricinfo.com/ci/engine/match/64606.html,ODI # 1397
Australia,Sri Lanka,Australia,45 runs,Perth,Jan 31,http://stats.espncricinfo.com/ci/engine/match/65581.html,ODI # 1398
South Africa,West Indies,South Africa,89 runs,Cape Town,Feb 2,http://stats.espncricinfo.com/ci/engine/match/64607.html,ODI # 1399
England,Sri Lanka,Sri Lanka,11 runs,Sydney,Feb 3,http://stats.espncricinfo.com/ci/engine/match/65582.html,ODI # 1400
Australia,England,Australia,4 wickets,Sydney,Feb 5,http://stats.espncricinfo.com/ci/engine/match/65583.html,ODI # 1401
South Africa,West Indies,South Africa,114 runs,Bloemfontein,Feb 5,http://stats.espncricinfo.com/ci/engine/match/64608.html,ODI # 1402
Australia,Sri Lanka,Australia,43 runs,Melbourne,Feb 7,http://stats.espncricinfo.com/ci/engine/match/65584.html,ODI # 1403
South Africa,West Indies,South Africa,50 runs,Centurion,Feb 7,http://stats.espncricinfo.com/ci/engine/match/64609.html,ODI # 1404
Australia,England,Australia,10 runs,Sydney,Feb 10,http://stats.espncricinfo.com/ci/engine/match/65585.html,ODI # 1405
Australia,England,Australia,162 runs,Melbourne,Feb 13,http://stats.espncricinfo.com/ci/engine/match/65586.html,ODI # 1406
New Zealand,South Africa,New Zealand,3 wickets,Dunedin,Feb 14,http://stats.espncricinfo.com/ci/engine/match/64610.html,ODI # 1407
New Zealand,South Africa,South Africa,7 wickets,Christchurch,Feb 17,http://stats.espncricinfo.com/ci/engine/match/64611.html,ODI # 1408
