Asia XI,ICC World XI,ICC World XI,112 runs,Melbourne,Jan 10,http://stats.espncricinfo.com/ci/engine/match/66387.html
Australia,West Indies,Australia,116 runs,Melbourne,Jan 14,http://stats.espncricinfo.com/ci/engine/match/65657.html
Australia,Pakistan,Australia,4 wickets,Hobart,Jan 16,http://stats.espncricinfo.com/ci/engine/match/65658.html
Pakistan,West Indies,Pakistan,6 wickets,Brisbane,Jan 19,http://stats.espncricinfo.com/ci/engine/match/65659.html
Bangladesh,Zimbabwe,Zimbabwe,22 runs,Dhaka,Jan 20,http://stats.espncricinfo.com/ci/engine/match/64918.html
Australia,West Indies,no result, ,Brisbane,Jan 21,http://stats.espncricinfo.com/ci/engine/match/65660.html
Australia,Pakistan,Australia,9 wickets,Sydney,Jan 23,http://stats.espncricinfo.com/ci/engine/match/65661.html
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Chittagong,Jan 24,http://stats.espncricinfo.com/ci/engine/match/64919.html
Bangladesh,Zimbabwe,Bangladesh,40 runs,Chittagong,Jan 26,http://stats.espncricinfo.com/ci/engine/match/64920.html
Australia,West Indies,Australia,73 runs,Adelaide,Jan 26,http://stats.espncricinfo.com/ci/engine/match/65662.html
Pakistan,West Indies,West Indies,58 runs,Adelaide,Jan 28,http://stats.espncricinfo.com/ci/engine/match/65663.html
Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,Jan 29,http://stats.espncricinfo.com/ci/engine/match/64921.html
Australia,Pakistan,Pakistan,3 wickets,Perth,Jan 30,http://stats.espncricinfo.com/ci/engine/match/65664.html
South Africa,England,England,26 runs,Johannesburg,Jan 30,http://stats.espncricinfo.com/ci/engine/match/64922.html
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,Jan 31,http://stats.espncricinfo.com/ci/engine/match/64923.html
Pakistan,West Indies,Pakistan,30 runs,Perth,Feb 1,http://stats.espncricinfo.com/ci/engine/match/65665.html
South Africa,England,tied, ,Bloemfontein,Feb 2,http://stats.espncricinfo.com/ci/engine/match/64924.html
Australia,Pakistan,Australia,18 runs,Melbourne,Feb 4,http://stats.espncricinfo.com/ci/engine/match/65666.html
South Africa,England,South Africa,3 wickets,Port Elizabeth,Feb 4,http://stats.espncricinfo.com/ci/engine/match/64925.html
Australia,Pakistan,Australia,31 runs,Sydney,Feb 6,http://stats.espncricinfo.com/ci/engine/match/65667.html
South Africa,England,South Africa,108 runs,Cape Town,Feb 6,http://stats.espncricinfo.com/ci/engine/match/64926.html
South Africa,England,South Africa,7 runs,East London,Feb 9,http://stats.espncricinfo.com/ci/engine/match/64927.html
South Africa,England,no result, ,Durban,Feb 11,http://stats.espncricinfo.com/ci/engine/match/64928.html
South Africa,England,South Africa,3 wickets,Centurion,Feb 13,http://stats.espncricinfo.com/ci/engine/match/64929.html
New Zealand,Australia,Australia,10 runs,Wellington,Feb 19,http://stats.espncricinfo.com/ci/engine/match/64930.html
New Zealand,Australia,Australia,106 runs,Christchurch,Feb 22,http://stats.espncricinfo.com/ci/engine/match/64931.html
South Africa,Zimbabwe,South Africa,165 runs,Johannesburg,Feb 25,http://stats.espncricinfo.com/ci/engine/match/64932.html
New Zealand,Australia,Australia,86 runs,Auckland,Feb 26,http://stats.espncricinfo.com/ci/engine/match/64933.html
South Africa,Zimbabwe,South Africa,131 runs,Durban,Feb 27,http://stats.espncricinfo.com/ci/engine/match/64934.html
New Zealand,Australia,Australia,7 wickets,Wellington,Mar 1,http://stats.espncricinfo.com/ci/engine/match/64935.html
South Africa,Zimbabwe,South Africa,5 wickets,Port Elizabeth,Mar 2,http://stats.espncricinfo.com/ci/engine/match/64936.html
New Zealand,Australia,Australia,122 runs,Napier,Mar 5,http://stats.espncricinfo.com/ci/engine/match/64937.html
India,Pakistan,India,87 runs,Kochi,Apr 2,http://stats.espncricinfo.com/ci/engine/match/64938.html
India,Pakistan,India,58 runs,Visakhapatnam,Apr 5,http://stats.espncricinfo.com/ci/engine/match/64939.html
India,Pakistan,Pakistan,106 runs,Jamshedpur,Apr 9,http://stats.espncricinfo.com/ci/engine/match/64940.html
India,Pakistan,Pakistan,3 wickets,Ahmedabad,Apr 12,http://stats.espncricinfo.com/ci/engine/match/64941.html
India,Pakistan,Pakistan,5 wickets,Kanpur,Apr 15,http://stats.espncricinfo.com/ci/engine/match/64942.html
India,Pakistan,Pakistan,159 runs,Delhi,Apr 17,http://stats.espncricinfo.com/ci/engine/match/64943.html
