Team1:Asia XI,Team2:ICC World XI,Winner:ICC World XI,Margin:112 runs,Ground:Melbourne,Match Date:Jan 10, 2005,Scorecard Link:/ci/engine/match/66387.html
Team1:Australia,Team2:West Indies,Winner:Australia,Margin:116 runs,Ground:Melbourne,Match Date:Jan 14, 2005,Scorecard Link:/ci/engine/match/65657.html
Team1:Australia,Team2:Pakistan,Winner:Australia,Margin:4 wickets,Ground:Hobart,Match Date:Jan 16, 2005,Scorecard Link:/ci/engine/match/65658.html
Team1:Pakistan,Team2:West Indies,Winner:Pakistan,Margin:6 wickets,Ground:Brisbane,Match Date:Jan 19, 2005,Scorecard Link:/ci/engine/match/65659.html
Team1:Bangladesh,Team2:Zimbabwe,Winner:Zimbabwe,Margin:22 runs,Ground:Dhaka,Match Date:Jan 20, 2005,Scorecard Link:/ci/engine/match/64918.html
Team1:Australia,Team2:West Indies,Winner:no result,Margin: ,Ground:Brisbane,Match Date:Jan 21, 2005,Scorecard Link:/ci/engine/match/65660.html
Team1:Australia,Team2:Pakistan,Winner:Australia,Margin:9 wickets,Ground:Sydney,Match Date:Jan 23, 2005,Scorecard Link:/ci/engine/match/65661.html
Team1:Bangladesh,Team2:Zimbabwe,Winner:Zimbabwe,Margin:31 runs,Ground:Chittagong,Match Date:Jan 24, 2005,Scorecard Link:/ci/engine/match/64919.html
Team1:Bangladesh,Team2:Zimbabwe,Winner:Bangladesh,Margin:40 runs,Ground:Chittagong,Match Date:Jan 26, 2005,Scorecard Link:/ci/engine/match/64920.html
Team1:Australia,Team2:West Indies,Winner:Australia,Margin:73 runs,Ground:Adelaide,Match Date:Jan 26, 2005,Scorecard Link:/ci/engine/match/65662.html
Team1:Pakistan,Team2:West Indies,Winner:West Indies,Margin:58 runs,Ground:Adelaide,Match Date:Jan 28, 2005,Scorecard Link:/ci/engine/match/65663.html
Team1:Bangladesh,Team2:Zimbabwe,Winner:Bangladesh,Margin:58 runs,Ground:Dhaka,Match Date:Jan 29, 2005,Scorecard Link:/ci/engine/match/64921.html
Team1:Australia,Team2:Pakistan,Winner:Pakistan,Margin:3 wickets,Ground:Perth,Match Date:Jan 30, 2005,Scorecard Link:/ci/engine/match/65664.html
Team1:South Africa,Team2:England,Winner:England,Margin:26 runs,Ground:Johannesburg,Match Date:Jan 30, 2005,Scorecard Link:/ci/engine/match/64922.html
Team1:Bangladesh,Team2:Zimbabwe,Winner:Bangladesh,Margin:8 wickets,Ground:Dhaka,Match Date:Jan 31, 2005,Scorecard Link:/ci/engine/match/64923.html
Team1:Pakistan,Team2:West Indies,Winner:Pakistan,Margin:30 runs,Ground:Perth,Match Date:Feb 1, 2005,Scorecard Link:/ci/engine/match/65665.html
Team1:South Africa,Team2:England,Winner:tied,Margin: ,Ground:Bloemfontein,Match Date:Feb 2, 2005,Scorecard Link:/ci/engine/match/64924.html
Team1:Australia,Team2:Pakistan,Winner:Australia,Margin:18 runs,Ground:Melbourne,Match Date:Feb 4, 2005,Scorecard Link:/ci/engine/match/65666.html
Team1:South Africa,Team2:England,Winner:South Africa,Margin:3 wickets,Ground:Port Elizabeth,Match Date:Feb 4, 2005,Scorecard Link:/ci/engine/match/64925.html
Team1:Australia,Team2:Pakistan,Winner:Australia,Margin:31 runs,Ground:Sydney,Match Date:Feb 6, 2005,Scorecard Link:/ci/engine/match/65667.html
Team1:South Africa,Team2:England,Winner:South Africa,Margin:108 runs,Ground:Cape Town,Match Date:Feb 6, 2005,Scorecard Link:/ci/engine/match/64926.html
Team1:South Africa,Team2:England,Winner:South Africa,Margin:7 runs,Ground:East London,Match Date:Feb 9, 2005,Scorecard Link:/ci/engine/match/64927.html
Team1:South Africa,Team2:England,Winner:no result,Margin: ,Ground:Durban,Match Date:Feb 11, 2005,Scorecard Link:/ci/engine/match/64928.html
Team1:South Africa,Team2:England,Winner:South Africa,Margin:3 wickets,Ground:Centurion,Match Date:Feb 13, 2005,Scorecard Link:/ci/engine/match/64929.html
