South Africa,West Indies,South Africa,6 wickets,Centurion,Jan 20,http://stats.espncricinfo.com/ci/engine/match/298805.html
Pakistan,Zimbabwe,Pakistan,104 runs,Karachi,Jan 21,http://stats.espncricinfo.com/ci/engine/match/325800.html
Pakistan,Zimbabwe,Pakistan,5 wickets,Hyderabad (Sind),Jan 24,http://stats.espncricinfo.com/ci/engine/match/325801.html
South Africa,West Indies,South Africa,86 runs,Cape Town,Jan 25,http://stats.espncricinfo.com/ci/engine/match/298806.html
Pakistan,Zimbabwe,Pakistan,37 runs,Multan,Jan 27,http://stats.espncricinfo.com/ci/engine/match/325802.html
South Africa,West Indies,South Africa,7 wickets,Port Elizabeth,Jan 27,http://stats.espncricinfo.com/ci/engine/match/298807.html
Pakistan,Zimbabwe,Pakistan,7 wickets,Faisalabad,Jan 30,http://stats.espncricinfo.com/ci/engine/match/325803.html
South Africa,West Indies,South Africa,5 wickets,Durban,Feb 1,http://stats.espncricinfo.com/ci/engine/match/298808.html
Pakistan,Zimbabwe,Pakistan,7 wickets,Sheikhupura,Feb 2,http://stats.espncricinfo.com/ci/engine/match/325804.html
Australia,India,no result, ,Brisbane,Feb 3,http://stats.espncricinfo.com/ci/engine/match/291359.html
South Africa,West Indies,South Africa,8 wickets,Johannesburg,Feb 3,http://stats.espncricinfo.com/ci/engine/match/298809.html
India,Sri Lanka,no result, ,Brisbane,Feb 5,http://stats.espncricinfo.com/ci/engine/match/291360.html
Australia,Sri Lanka,Australia,128 runs,Sydney,Feb 8,http://stats.espncricinfo.com/ci/engine/match/291361.html
New Zealand,England,New Zealand,6 wickets,Wellington,Feb 9,http://stats.espncricinfo.com/ci/engine/match/300437.html
Australia,India,India,5 wickets,Melbourne,Feb 10,http://stats.espncricinfo.com/ci/engine/match/291362.html
India,Sri Lanka,Sri Lanka,8 wickets,Canberra,Feb 12,http://stats.espncricinfo.com/ci/engine/match/291363.html
New Zealand,England,New Zealand,10 wickets,Hamilton,Feb 12,http://stats.espncricinfo.com/ci/engine/match/300438.html
New Zealand,England,England,6 wickets,Auckland,Feb 15,http://stats.espncricinfo.com/ci/engine/match/300439.html
Australia,Sri Lanka,Australia,63 runs,Perth,Feb 15,http://stats.espncricinfo.com/ci/engine/match/291364.html
Australia,India,Australia,50 runs,Adelaide,Feb 17,http://stats.espncricinfo.com/ci/engine/match/291365.html
India,Sri Lanka,India,2 wickets,Adelaide,Feb 19,http://stats.espncricinfo.com/ci/engine/match/291366.html
New Zealand,England,tied, ,Napier,Feb 20,http://stats.espncricinfo.com/ci/engine/match/300440.html
Australia,Sri Lanka,Australia,24 runs,Melbourne,Feb 22,http://stats.espncricinfo.com/ci/engine/match/291367.html
New Zealand,England,New Zealand,34 runs,Christchurch,Feb 23,http://stats.espncricinfo.com/ci/engine/match/300441.html
Australia,India,Australia,18 runs,Sydney,Feb 24,http://stats.espncricinfo.com/ci/engine/match/291368.html
India,Sri Lanka,India,7 wickets,Hobart,Feb 26,http://stats.espncricinfo.com/ci/engine/match/291369.html
Australia,Sri Lanka,Sri Lanka,13 runs,Melbourne,Feb 29,http://stats.espncricinfo.com/ci/engine/match/291370.html
Australia,India,India,6 wickets,Sydney,Mar 2,http://stats.espncricinfo.com/ci/engine/match/291371.html
Australia,India,India,9 runs,Brisbane,Mar 4,http://stats.espncricinfo.com/ci/engine/match/291372.html
Bangladesh,South Africa,South Africa,9 wickets,Chittagong,Mar 9,http://stats.espncricinfo.com/ci/engine/match/323949.html
Bangladesh,South Africa,South Africa,7 wickets,Dhaka,Mar 12,http://stats.espncricinfo.com/ci/engine/match/323950.html
Bangladesh,South Africa,South Africa,7 wickets,Dhaka,Mar 14,http://stats.espncricinfo.com/ci/engine/match/323951.html
