South Africa,Sri Lanka,South Africa,258 runs,Paarl,Jan 11,http://stats.espncricinfo.com/ci/engine/match/514035.html
South Africa,Sri Lanka,South Africa,5 wickets,East London,Jan 14,http://stats.espncricinfo.com/ci/engine/match/514036.html
South Africa,Sri Lanka,South Africa,4 runs,Bloemfontein,Jan 17,http://stats.espncricinfo.com/ci/engine/match/514037.html
South Africa,Sri Lanka,Sri Lanka,5 wickets,Kimberley,Jan 20,http://stats.espncricinfo.com/ci/engine/match/514038.html
South Africa,Sri Lanka,Sri Lanka,2 wickets,Johannesburg,Jan 22,http://stats.espncricinfo.com/ci/engine/match/514039.html
New Zealand,Zimbabwe,New Zealand,90 runs,Dunedin,Feb 3,http://stats.espncricinfo.com/ci/engine/match/520592.html
Australia,India,Australia,65 runs,Melbourne,Feb 5,http://stats.espncricinfo.com/ci/engine/match/518956.html
New Zealand,Zimbabwe,New Zealand,141 runs,Whangarei,Feb 6,http://stats.espncricinfo.com/ci/engine/match/520593.html
India,Sri Lanka,India,4 wickets,Perth,Feb 8,http://stats.espncricinfo.com/ci/engine/match/518957.html
New Zealand,Zimbabwe,New Zealand,202 runs,Napier,Feb 9,http://stats.espncricinfo.com/ci/engine/match/520594.html
Australia,Sri Lanka,Australia,5 runs,Perth,Feb 10,http://stats.espncricinfo.com/ci/engine/match/518958.html
Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah,Feb 10,http://stats.espncricinfo.com/ci/engine/match/545656.html
Australia,India,India,4 wickets,Adelaide,Feb 12,http://stats.espncricinfo.com/ci/engine/match/518959.html
England,Pakistan,England,130 runs,Abu Dhabi,Feb 13,http://stats.espncricinfo.com/ci/engine/match/531631.html
India,Sri Lanka,tied, ,Adelaide,Feb 14,http://stats.espncricinfo.com/ci/engine/match/518960.html
England,Pakistan,England,20 runs,Abu Dhabi,Feb 15,http://stats.espncricinfo.com/ci/engine/match/531632.html
Australia,Sri Lanka,Sri Lanka,8 wickets,Sydney,Feb 17,http://stats.espncricinfo.com/ci/engine/match/518961.html
Kenya,Ireland,Kenya,7 wickets,Mombasa,Feb 18,http://stats.espncricinfo.com/ci/engine/match/543881.html
England,Pakistan,England,9 wickets,Dubai (DSC),Feb 18,http://stats.espncricinfo.com/ci/engine/match/531633.html
Australia,India,Australia,110 runs,Brisbane,Feb 19,http://stats.espncricinfo.com/ci/engine/match/518962.html
Kenya,Ireland,Ireland,117 runs,Mombasa,Feb 20,http://stats.espncricinfo.com/ci/engine/match/543882.html
India,Sri Lanka,Sri Lanka,51 runs,Brisbane,Feb 21,http://stats.espncricinfo.com/ci/engine/match/518963.html
England,Pakistan,England,4 wickets,Dubai (DSC),Feb 21,http://stats.espncricinfo.com/ci/engine/match/531634.html
Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,Feb 24,http://stats.espncricinfo.com/ci/engine/match/518964.html
New Zealand,South Africa,South Africa,6 wickets,Wellington,Feb 25,http://stats.espncricinfo.com/ci/engine/match/520600.html
Australia,India,Australia,87 runs,Sydney,Feb 26,http://stats.espncricinfo.com/ci/engine/match/518965.html
India,Sri Lanka,India,7 wickets,Hobart,Feb 28,http://stats.espncricinfo.com/ci/engine/match/518966.html
New Zealand,South Africa,South Africa,6 wickets,Napier,Feb 29,http://stats.espncricinfo.com/ci/engine/match/520601.html
Australia,Sri Lanka,Sri Lanka,9 runs,Melbourne,Mar 2,http://stats.espncricinfo.com/ci/engine/match/518967.html
New Zealand,South Africa,South Africa,5 wickets,Auckland,Mar 3,http://stats.espncricinfo.com/ci/engine/match/520602.html
Australia,Sri Lanka,Australia,15 runs,Brisbane,Mar 4,http://stats.espncricinfo.com/ci/engine/match/518968.html
Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,Mar 6,http://stats.espncricinfo.com/ci/engine/match/518969.html
Australia,Sri Lanka,Australia,16 runs,Adelaide,Mar 8,http://stats.espncricinfo.com/ci/engine/match/518970.html
Bangladesh,Pakistan,Pakistan,21 runs,Dhaka,Mar 11,http://stats.espncricinfo.com/ci/engine/match/535794.html
India,Sri Lanka,India,50 runs,Dhaka,Mar 13,http://stats.espncricinfo.com/ci/engine/match/535795.html
Pakistan,Sri Lanka,Pakistan,6 wickets,Dhaka,Mar 15,http://stats.espncricinfo.com/ci/engine/match/535796.html
Bangladesh,India,Bangladesh,5 wickets,Dhaka,Mar 16,http://stats.espncricinfo.com/ci/engine/match/535797.html
West Indies,Australia,Australia,64 runs,Kingstown,Mar 16,http://stats.espncricinfo.com/ci/engine/match/540168.html
India,Pakistan,India,6 wickets,Dhaka,Mar 18,http://stats.espncricinfo.com/ci/engine/match/535798.html
West Indies,Australia,West Indies,5 wickets,Kingstown,Mar 18,http://stats.espncricinfo.com/ci/engine/match/540169.html
Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,Mar 20,http://stats.espncricinfo.com/ci/engine/match/535799.html
West Indies,Australia,tied, ,Kingstown,Mar 20,http://stats.espncricinfo.com/ci/engine/match/540170.html
Bangladesh,Pakistan,Pakistan,2 runs,Dhaka,Mar 22,http://stats.espncricinfo.com/ci/engine/match/535800.html
West Indies,Australia,West Indies,42 runs,Gros Islet,Mar 23,http://stats.espncricinfo.com/ci/engine/match/540171.html
West Indies,Australia,Australia,30 runs,Gros Islet,Mar 25,http://stats.espncricinfo.com/ci/engine/match/540172.html
Afghanistan,Netherlands,Netherlands,9 wickets,Sharjah,Mar 29,http://stats.espncricinfo.com/ci/engine/match/543888.html
Afghanistan,Netherlands,Afghanistan,5 wickets,Sharjah,Mar 31,http://stats.espncricinfo.com/ci/engine/match/543889.html
Sri Lanka,Pakistan,Pakistan,6 wickets,Pallekele,Jun 7,http://stats.espncricinfo.com/ci/engine/match/562439.html
Sri Lanka,Pakistan,Sri Lanka,76 runs,Pallekele,Jun 9,http://stats.espncricinfo.com/ci/engine/match/562440.html
Sri Lanka,Pakistan,no result, ,Colombo (RPS),Jun 13,http://stats.espncricinfo.com/ci/engine/match/562441.html
Sri Lanka,Pakistan,Sri Lanka,44 runs,Colombo (RPS),Jun 16,http://stats.espncricinfo.com/ci/engine/match/562442.html
England,West Indies,England,114 runs,Southampton,Jun 16,http://stats.espncricinfo.com/ci/engine/match/534209.html
