India,Pakistan,Pakistan,85 runs,Kolkata,Jan 3,http://stats.espncricinfo.com/ci/engine/match/589309.html,ODI # 3315
India,Pakistan,India,10 runs,Delhi,Jan 6,http://stats.espncricinfo.com/ci/engine/match/589310.html,ODI # 3316
Australia,Sri Lanka,Australia,107 runs,Melbourne,Jan 11,http://stats.espncricinfo.com/ci/engine/match/573014.html,ODI # 3317
India,England,England,9 runs,Rajkot,Jan 11,http://stats.espncricinfo.com/ci/engine/match/565812.html,ODI # 3318
Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,Jan 13,http://stats.espncricinfo.com/ci/engine/match/573015.html,ODI # 3319
India,England,India,127 runs,Kochi,Jan 15,http://stats.espncricinfo.com/ci/engine/match/565813.html,ODI # 3320
Australia,Sri Lanka,Sri Lanka,4 wickets,Brisbane,Jan 18,http://stats.espncricinfo.com/ci/engine/match/573016.html,ODI # 3321
India,England,India,7 wickets,Ranchi,Jan 19,http://stats.espncricinfo.com/ci/engine/match/565814.html,ODI # 3322
South Africa,New Zealand,New Zealand,1 wicket,Paarl,Jan 19,http://stats.espncricinfo.com/ci/engine/match/567358.html,ODI # 3323
Australia,Sri Lanka,no result, ,Sydney,Jan 20,http://stats.espncricinfo.com/ci/engine/match/573017.html,ODI # 3324
South Africa,New Zealand,New Zealand,27 runs,Kimberley,Jan 22,http://stats.espncricinfo.com/ci/engine/match/567359.html,ODI # 3325
Australia,Sri Lanka,Australia,32 runs,Hobart,Jan 23,http://stats.espncricinfo.com/ci/engine/match/573018.html,ODI # 3326
India,England,India,5 wickets,Mohali,Jan 23,http://stats.espncricinfo.com/ci/engine/match/565815.html,ODI # 3327
South Africa,New Zealand,South Africa,1 wicket,Potchefstroom,Jan 25,http://stats.espncricinfo.com/ci/engine/match/567360.html,ODI # 3328
India,England,England,7 wickets,Dharamsala,Jan 27,http://stats.espncricinfo.com/ci/engine/match/565816.html,ODI # 3329
Australia,West Indies,Australia,9 wickets,Perth,Feb 1,http://stats.espncricinfo.com/ci/engine/match/573022.html,ODI # 3330
Australia,West Indies,Australia,54 runs,Perth,Feb 3,http://stats.espncricinfo.com/ci/engine/match/573023.html,ODI # 3331
Australia,West Indies,Australia,39 runs,Canberra,Feb 6,http://stats.espncricinfo.com/ci/engine/match/573024.html,ODI # 3332
Australia,West Indies,Australia,5 wickets,Sydney,Feb 8,http://stats.espncricinfo.com/ci/engine/match/573025.html,ODI # 3333
Australia,West Indies,Australia,17 runs,Melbourne,Feb 10,http://stats.espncricinfo.com/ci/engine/match/573026.html,ODI # 3334
New Zealand,England,New Zealand,3 wickets,Hamilton,Feb 17,http://stats.espncricinfo.com/ci/engine/match/569240.html,ODI # 3335
New Zealand,England,England,8 wickets,Napier,Feb 20,http://stats.espncricinfo.com/ci/engine/match/569241.html,ODI # 3336
West Indies,Zimbabwe,West Indies,156 runs,St George's,Feb 22,http://stats.espncricinfo.com/ci/engine/match/593983.html,ODI # 3337
New Zealand,England,England,5 wickets,Auckland,Feb 23,http://stats.espncricinfo.com/ci/engine/match/569242.html,ODI # 3338
West Indies,Zimbabwe,West Indies,7 wickets,St George's,Feb 24,http://stats.espncricinfo.com/ci/engine/match/593984.html,ODI # 3339
West Indies,Zimbabwe,West Indies,5 wickets,St George's,Feb 26,http://stats.espncricinfo.com/ci/engine/match/593985.html,ODI # 3340
Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah,Mar 6,http://stats.espncricinfo.com/ci/engine/match/592270.html,ODI # 3341
Afghanistan,Scotland,Afghanistan,5 wickets,Sharjah,Mar 8,http://stats.espncricinfo.com/ci/engine/match/592271.html,ODI # 3342
South Africa,Pakistan,South Africa,125 runs,Bloemfontein,Mar 10,http://stats.espncricinfo.com/ci/engine/match/567368.html,ODI # 3343
Canada,Kenya,Kenya,6 wickets,ICCA Dubai,Mar 11,http://stats.espncricinfo.com/ci/engine/match/592266.html,ODI # 3344
Canada,Kenya,Kenya,6 wickets,ICCA Dubai,Mar 13,http://stats.espncricinfo.com/ci/engine/match/592267.html,ODI # 3345
South Africa,Pakistan,Pakistan,6 wickets,Centurion,Mar 15,http://stats.espncricinfo.com/ci/engine/match/567369.html,ODI # 3346
South Africa,Pakistan,South Africa,34 runs,Johannesburg,Mar 17,http://stats.espncricinfo.com/ci/engine/match/567370.html,ODI # 3347
South Africa,Pakistan,Pakistan,3 wickets,Durban,Mar 21,http://stats.espncricinfo.com/ci/engine/match/567371.html,ODI # 3348
Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Hambantota,Mar 23,http://stats.espncricinfo.com/ci/engine/match/602474.html,ODI # 3349
