Australia,Pakistan,Australia,92 runs,Brisbane,Jan 13,http://stats.espncricinfo.com/ci/engine/match/1000887.html
Australia,Pakistan,Pakistan,6 wickets,Melbourne,Jan 15,http://stats.espncricinfo.com/ci/engine/match/1000889.html
India,England,India,3 wickets,Pune,Jan 15,http://stats.espncricinfo.com/ci/engine/match/1034819.html
Australia,Pakistan,Australia,7 wickets,Perth,Jan 19,http://stats.espncricinfo.com/ci/engine/match/1000891.html
India,England,India,15 runs,Cuttack,Jan 19,http://stats.espncricinfo.com/ci/engine/match/1034821.html
Australia,Pakistan,Australia,86 runs,Sydney,Jan 22,http://stats.espncricinfo.com/ci/engine/match/1000893.html
Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi,Jan 22,http://stats.espncricinfo.com/ci/engine/match/1078659.html
India,England,England,5 runs,Kolkata,Jan 22,http://stats.espncricinfo.com/ci/engine/match/1034823.html
U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC),Jan 24,http://stats.espncricinfo.com/ci/engine/match/1078660.html
Australia,Pakistan,Australia,57 runs,Adelaide,Jan 26,http://stats.espncricinfo.com/ci/engine/match/1000895.html
U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC),Jan 26,http://stats.espncricinfo.com/ci/engine/match/1078661.html
South Africa,Sri Lanka,South Africa,8 wickets,Port Elizabeth,Jan 28,http://stats.espncricinfo.com/ci/engine/match/936159.html
New Zealand,Australia,New Zealand,6 runs,Auckland,Jan 30,http://stats.espncricinfo.com/ci/engine/match/1020013.html
South Africa,Sri Lanka,South Africa,121 runs,Durban,Feb 1,http://stats.espncricinfo.com/ci/engine/match/936161.html
South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg,Feb 4,http://stats.espncricinfo.com/ci/engine/match/936163.html
New Zealand,Australia,New Zealand,24 runs,Hamilton,Feb 5,http://stats.espncricinfo.com/ci/engine/match/1020017.html
South Africa,Sri Lanka,South Africa,40 runs,Cape Town,Feb 7,http://stats.espncricinfo.com/ci/engine/match/936165.html
South Africa,Sri Lanka,South Africa,88 runs,Centurion,Feb 10,http://stats.espncricinfo.com/ci/engine/match/936167.html
Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare,Feb 16,http://stats.espncricinfo.com/ci/engine/match/1079246.html
New Zealand,South Africa,South Africa,4 wickets,Hamilton,Feb 19,http://stats.espncricinfo.com/ci/engine/match/1020031.html
Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare,Feb 19,http://stats.espncricinfo.com/ci/engine/match/1079247.html
Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare,Feb 21,http://stats.espncricinfo.com/ci/engine/match/1079248.html
New Zealand,South Africa,New Zealand,6 runs,Christchurch,Feb 22,http://stats.espncricinfo.com/ci/engine/match/1020033.html
Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare,Feb 24,http://stats.espncricinfo.com/ci/engine/match/1079249.html
New Zealand,South Africa,South Africa,159 runs,Wellington,Feb 25,http://stats.espncricinfo.com/ci/engine/match/1020035.html
Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare,Feb 26,http://stats.espncricinfo.com/ci/engine/match/1079250.html
New Zealand,South Africa,New Zealand,7 wickets,Hamilton,Mar 1,http://stats.espncricinfo.com/ci/engine/match/1020037.html
U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai,Mar 2,http://stats.espncricinfo.com/ci/engine/match/1080630.html
West Indies,England,England,45 runs,North Sound,Mar 3,http://stats.espncricinfo.com/ci/engine/match/1027315.html
New Zealand,South Africa,South Africa,6 wickets,Auckland,Mar 4,http://stats.espncricinfo.com/ci/engine/match/1020039.html
U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai,Mar 4,http://stats.espncricinfo.com/ci/engine/match/1080631.html
West Indies,England,England,4 wickets,North Sound,Mar 5,http://stats.espncricinfo.com/ci/engine/match/1027317.html
West Indies,England,England,186 runs,Bridgetown,Mar 9,http://stats.espncricinfo.com/ci/engine/match/1027319.html
Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida,Mar 15,http://stats.espncricinfo.com/ci/engine/match/1040491.html
Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida,Mar 17,http://stats.espncricinfo.com/ci/engine/match/1040493.html
Afghanistan,Ireland,Ireland,6 wickets,Greater Noida,Mar 19,http://stats.espncricinfo.com/ci/engine/match/1040495.html
